id, label, label_en, label_fr, parent, obsolete
"Russian_Federation","Russian Federation","Russian Federation","Russie","europe","0"
"Rwanda","Rwanda","Rwanda","Rwanda","africa","0"
"Samoa","Samoa","Samoa","Samoa","oceania","0"
"San_Marino","San Marino","San Marino","Saint-Marin","europe","0"
"Sao_Tome_and_Principe","Sao Tome and Principe","Sao Tome and Principe","São Tomé-et-Principe","africa","0"
"Saudi_Arabia","Saudi Arabia","Saudi Arabia","Arabie saoudite","asia","0"
"Senegal","Senegal","Senegal","Sénégal","africa","0"
"Serbia","Serbia","Serbia","Serbie","europe","0"
"Seychelles","Seychelles","Seychelles","Seychelles","africa","0"
"Sierra_Leone","Sierra Leone","Sierra Leone","Sierra Leone","africa","0"
"Singapore","Singapore","Singapore","Singapour","asia","0"
"Slovakia_Slovak_Republic","Slovakia (Slovak Republic)","Slovakia (Slovak Republic)","Slovaquie","europe","0"
"Slovenia","Slovenia","Slovenia","Slovénie","europe","0"
"Solomon_Islands","Solomon Islands","Solomon Islands","Îles Salomon","oceania","0"
"Somalia","Somalia","Somalia","Somalie","africa","0"
"South_Africa","South Africa","South Africa","Afrique du Sud","africa","0"
"South_Georgia_and_the_South_Sandwich_Islands","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands","Géorgie du Sud et les îles Sandwich du Sud","antarctica","0"
"South_Korea","South Korea","South Korea","Corée du Sud","asia","0"
"Spain","Spain","Spain","Espagne","europe","0"
"Sri_Lanka","Sri Lanka","Sri Lanka","Sri Lanka","asia","0"
"St_Helena","St. Helena","St. Helena","Île Sainte-Hélène","africa","0"
"St_Kitts_and_Nevis","St. Kitts and Nevis","St. Kitts and Nevis","Saint-Christophe-et-Niévès","north-america","0"
"St_Lucia","St. Lucia","St. Lucia","Sainte-Lucie","north-america","0"
"St_Pierre_and_Miquelon","St. Pierre and Miquelon","St. Pierre and Miquelon","Saint-Pierre-et-Miquelon","north-america","0"
"St_Vincent_and_the_Grenadines","St. Vincent and the Grenadines","St. Vincent and the Grenadines","Saint-Vincent-et-les Grenadines","north-america","0"
"Sudan","Sudan","Sudan","Soudan","africa","0"
"Suriname","Suriname","Suriname","Suriname","south-america","0"
"Svalbard_Jan_Mayen_Islands","Svalbard & Jan Mayen Islands","Svalbard & Jan Mayen Islands","Svalbard et Jan Mayen","europe","0"
"Swaziland","Swaziland","Swaziland","Swaziland","africa","0"
"Sweden","Sweden","Sweden","Suède","europe","0"
"Switzerland","Switzerland","Switzerland","Suisse","europe","0"
"Syrian_Arab_Republic","Syrian Arab Republic","Syrian Arab Republic","Syrie","asia","0"
"Taiwan","Taiwan","Taiwan","Taïwan","asia","0"
"Tajikistan","Tajikistan","Tajikistan","Tadjikistan","asia","0"
"Tanzania","Tanzania","Tanzania","Tanzanie","africa","0"
"Thailand","Thailand","Thailand","Thaïlande","asia","0"
"Timor_Leste","Timor-Leste","Timor-Leste","Timor oriental","asia","0"
"Togo","Togo","Togo","Togo","africa","0"
"Tokelau_Tokelau_Islands","Tokelau (Tokelau Islands)","Tokelau (Tokelau Islands)","Tokelau","oceania","0"
"Tonga","Tonga","Tonga","Tonga","oceania","0"
"Trinidad_and_Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinité-et-Tobago","north-america","0"
"Tunisia","Tunisia","Tunisia","Tunisie","africa","0"
"Turkey","Turkey","Turkey","Turkquie","asia","0"
"Turkmenistan","Turkmenistan","Turkmenistan","Turkménistan","asia","0"
"Turks_and_Caicos_Islands","Turks and Caicos Islands","Turks and Caicos Islands","Îles Turques et Caïques","north-america","0"
"Tuvalu","Tuvalu","Tuvalu","Tuvalu","oceania","0"
"Uganda","Uganda","Uganda","Ouganda","africa","0"
"Ukraine","Ukraine","Ukraine","Ukraine","europe","0"
"United_Arab_Emirates","United Arab Emirates","United Arab Emirates","Émirats arabes unis","asia","0"
"United_Kingdom_of_Great_Britain_N_Ireland","United Kingdom of Great Britain & N. Ireland","United Kingdom of Great Britain & N. Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","europe","0"
"United_States_Minor_Outlying_Islands","United States Minor Outlying Islands","United States Minor Outlying Islands","Îles mineures éloignພs des États-Unis","oceania","0"
"United_States_of_America","United States of America","United States of America","États-Unis","north-america","0"
"Uruguay","Uruguay","Uruguay","Uruguay","south-america","0"
"US_Virgin_Islands","US Virgin Islands","US Virgin Islands","îles Vierges américaines","north-america","0"
"Uzbekistan","Uzbekistan","Uzbekistan","Ouzbékistan","asia","0"
"Vanuatu","Vanuatu","Vanuatu","Vanuatu","oceania","0"
"Venezuela","Venezuela","Venezuela","Venezuela","south-america","0"
"Viet_Nam","Viet Nam","Viet Nam","Viêt Nam","asia","0"
"Wallis_and_Futuna_Islands","Wallis and Futuna Islands","Wallis and Futuna Islands","Îles Wallis-et-Futuna","oceania","0"
"Western_Sahara","Western Sahara","Western Sahara","Sahara occidental","africa","0"
"Yemen","Yemen","Yemen","Yémen","asia","0"
"Zambia","Zambia","Zambia","Zambie","africa","0"
"Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe","africa","0"
